"agency","fiscal_year","n","n_common","n_uncommon","common_mean","uncommon_mean","common_median","uncommon_median","gap","gap_dollars","uncommon_share","suppressed"
"COMMUNITY COLLEGE (KINGSBORO)",2018,861,796,65,74675.6721105527,68060.9692307692,74454,68210,0.0885790873095963,6614.70287978344,0.0754936120789779,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2019,862,797,65,75491.511919699,69793.2461538462,74454,71723,0.0754822048326992,5698.26576585288,0.0754060324825986,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2020,858,791,67,79530.9582806576,74250.2985074627,77462,77462,0.0663975373534416,5280.65977319497,0.0780885780885781,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2021,827,760,67,80628.3565789474,77544.4328358209,80516,81647,0.0382486246027703,3083.92374312646,0.0810157194679565,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2022,814,744,70,84422.7809139785,76799.4571428571,84946,83284.5,0.0902993681159243,7623.32377112137,0.085995085995086,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2023,791,719,72,87597.7552155772,77214.9305555556,90375,83764,0.118528433000019,10382.8246600216,0.09102402022756,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2024,785,709,76,88729.9111424542,78185.3947368421,90375,83764,0.11883835191363,10544.5164056121,0.0968152866242038,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2025,774,698,76,90760.1404011461,80418.8684210526,90375,83346,0.113940678522385,10341.2719800935,0.0981912144702842,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2014,950,839,111,67164.7759237187,64592.2792792793,64956,65267,0.0383012763619002,2572.49664443945,0.116842105263158,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2015,1018,897,121,67121.5930880714,65168.7107438017,64956,66665,0.0290946959752176,1952.8823442697,0.118860510805501,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2016,1089,958,131,68349.3507306889,64968.251908397,67048,64956,0.0494678996383483,3381.09882229199,0.120293847566575,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2017,1156,1017,139,74961.5722713865,71065.3021582734,75110,71665,0.0519768995640493,3896.27011311307,0.120242214532872,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2018,1125,984,141,76255.4928861788,72704.2907801418,75110,72697,0.0465697875868113,3551.20210603694,0.125333333333333,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2019,1102,956,146,77441.1025104604,74113.7397260274,78477,74782,0.0429663663941716,3327.36278443305,0.132486388384755,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2020,1075,933,142,81293.9882100754,79561.3028169015,85162,78144,0.0213138195249616,1732.6853931739,0.132093023255814,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2021,1047,909,138,82920.1265126513,80788.6666666667,85162,80376.5,0.0257049758077661,2131.4598459846,0.131805157593123,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2022,996,861,135,86687.1567944251,84168.0814814815,88602,84946,0.0290593832592466,2519.07531294361,0.135542168674699,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2023,978,848,130,89386.1568396226,87296.4846153846,90375,90375,0.0233780296426361,2089.67222423802,0.132924335378323,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2024,990,858,132,89521.1888111888,87554.1136363636,90375,90375,0.0219732914737537,1967.07517482519,0.133333333333333,FALSE
"COMMUNITY COLLEGE (LAGUARDIA)",2025,1001,866,135,91955.8591224018,90149.437037037,90375,90375,0.0196444479188677,1806.42208536476,0.134865134865135,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2014,1174,1041,133,64754.3707973103,57694.007518797,64545,54848,0.109032999496098,7060.36327851327,0.113287904599659,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2015,1221,1087,134,65394.6504139834,57617.552238806,64956,53940,0.1189256021088,7777.09817517746,0.10974610974611,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2016,1230,1089,141,66017.6550964187,59816.8014184397,65267,58877,0.0939272027902638,6200.85367797902,0.114634146341463,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2017,1307,1160,147,72837.7036206896,65748.2544217687,71723,65011,0.0973321349591143,7089.44919892093,0.112471308339709,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2018,1343,1195,148,73476.8905439331,68481.3648648649,71723,70032,0.0679877120831791,4995.52567906819,0.110201042442293,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2019,1360,1210,150,74356.1586776859,68422.3933333333,74454,68351,0.0798019350363949,5933.76534435256,0.110294117647059,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2020,1348,1207,141,77952.0472245237,74007.4468085106,78065,74621,0.0506029098203357,3944.60041601313,0.10459940652819,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2021,1303,1165,138,79457.7630901287,75355.9202898551,78144,78144,0.051622933250977,4101.84280027366,0.105909439754413,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2022,1269,1138,131,83108.0193321617,79251.106870229,84946,84946,0.0464084271641417,3856.9124619327,0.103230890464933,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2023,1260,1123,137,86304.9572573464,82783.204379562,87004,83246,0.0408059164815191,3521.75287778435,0.108730158730159,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2024,1218,1080,138,87853.2944444444,84930.1594202899,90375,86438,0.0332729130152656,2923.13502415452,0.113300492610837,FALSE
"COMMUNITY COLLEGE (MANHATTAN)",2025,1196,1057,139,89374.2904446547,88032.618705036,90375,90375,0.0150118309520967,1341.67173961875,0.116220735785953,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2014,841,763,78,68340.9777195282,62782.0512820513,68024,64956,0.0813410434408883,5558.92643747693,0.0927467300832342,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2015,884,794,90,68102.3450881612,61677.1888888889,68024,64956,0.0943455939873247,6425.15619927234,0.101809954751131,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2016,921,829,92,68111.1592279855,62960.8695652174,68024,65546,0.0756159448928008,5150.28966276813,0.0998914223669924,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2017,963,863,100,75836.0249130938,70048.62,75110,73059.5,0.0763147187596669,5787.40491309385,0.103842159916926,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2018,967,864,103,76073.5266203704,72325.2330097087,75254,71723,0.0492719843181026,3748.29361066165,0.106514994829369,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2019,977,874,103,77756.0183066361,74882.8932038835,78477,75110,0.0369505173403077,2873.12510275265,0.105424769703173,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2020,940,833,107,82474.0780312124,79726.046728972,85162,81647,0.0333199396445571,2748.03130224049,0.113829787234043,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2021,902,803,99,84266.9464508095,81559.8181818182,85162,85162,0.0321256243760008,2707.12826899128,0.109756097560976,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2022,880,779,101,88015.7483953787,85426.5742574257,88602,88602,0.029417168917567,2589.17413795293,0.114772727272727,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2023,855,753,102,91048.05312085,87500.0784313725,90375,90375,0.0389681554724526,3547.9746894774,0.119298245614035,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2024,832,727,105,91394.2613480056,91177.980952381,90375,90375,0.0023664548783984,216.280395624606,0.126201923076923,FALSE
"COMMUNITY COLLEGE (QUEENSBORO)",2025,825,719,106,93636.5104311544,94583.3867924528,90375,92231,-0.0101122559665936,-946.876361298448,0.128484848484848,FALSE
"CONFLICTS OF INTEREST BOARD",2014,20,19,1,,,,,,,0.05,TRUE
"CONFLICTS OF INTEREST BOARD",2015,21,20,1,,,,,,,0.0476190476190476,TRUE
"CONFLICTS OF INTEREST BOARD",2016,21,20,1,,,,,,,0.0476190476190476,TRUE
"CONFLICTS OF INTEREST BOARD",2017,23,22,1,,,,,,,0.0434782608695652,TRUE
"CONFLICTS OF INTEREST BOARD",2018,26,25,1,,,,,,,0.0384615384615385,TRUE
"CONFLICTS OF INTEREST BOARD",2019,25,23,2,,,,,,,0.08,TRUE
"CONFLICTS OF INTEREST BOARD",2020,25,23,2,,,,,,,0.08,TRUE
"CONFLICTS OF INTEREST BOARD",2021,23,21,2,,,,,,,0.0869565217391304,TRUE
"CONFLICTS OF INTEREST BOARD",2022,24,23,1,,,,,,,0.0416666666666667,TRUE
"CONFLICTS OF INTEREST BOARD",2023,23,22,1,,,,,,,0.0434782608695652,TRUE
"CONFLICTS OF INTEREST BOARD",2024,22,21,1,,,,,,,0.0454545454545455,TRUE
"CONFLICTS OF INTEREST BOARD",2025,21,20,1,,,,,,,0.0476190476190476,TRUE
"CONSUMER AFFAIRS",2014,337,302,35,57180.2516556291,55965.7714285714,49762,45615,0.0212395047572014,1214.48022705771,0.103857566765579,FALSE
"CONSUMER AFFAIRS",2015,359,325,34,58562.6369230769,56473.6470588235,49228,45768.5,0.035671034878387,2088.98986425339,0.0947075208913649,FALSE
"CONSUMER AFFAIRS",2016,352,315,37,58421.2984126984,58272.4324324324,50000,53249,0.0025481456987547,148.865980265982,0.105113636363636,FALSE
"CONSUMER AFFAIRS",2017,391,347,44,62277.2564841499,64474.75,53211,58650.5,-0.035285650651766,-2197.49351585014,0.112531969309463,FALSE
"CONSUMER AFFAIRS",2018,391,344,47,64382.0232558139,62910.6382978723,56872,57916,0.0228539720178602,1471.3849579416,0.120204603580563,FALSE
"CONSUMER AFFAIRS",2019,403,351,52,67949.5641025642,65842.7307692308,60000,58400.5,0.0310058403046309,2106.83333333339,0.129032258064516,FALSE
"CONSUMER AFFAIRS",2020,388,338,50,70108.2278106509,66961.28,61781,55534.5,0.0448869969891443,3146.94781065093,0.128865979381443,FALSE
"CONSUMER AFFAIRS",2021,361,317,44,69972.5772870662,65891.8636363636,61800,51366.5,0.0583187558457547,4080.71365070262,0.121883656509695,FALSE
"CONSUMER AND WORKER PROTECTION",2022,395,346,49,71393.7417919075,72819.4969387755,62215,61093,-0.019970309877071,-1425.75514686799,0.124050632911392,FALSE
"CONSUMER AND WORKER PROTECTION",2023,411,353,58,76415.6976203966,77510.0360344828,67983,64917.5,-0.0143208587785513,-1094.33841408617,0.141119221411192,FALSE
"CONSUMER AND WORKER PROTECTION",2024,398,339,59,82249.8907669616,80046.4994915254,71027,67954,0.0267889872544517,2203.39127543618,0.148241206030151,FALSE
"CONSUMER AND WORKER PROTECTION",2025,401,343,58,85812.6588921283,81558.2586206897,73561,70494.5,0.0495777700675453,4254.40027143863,0.144638403990025,FALSE
"CULTURAL AFFAIRS",2014,43,42,1,,,,,,,0.0232558139534884,TRUE
"CULTURAL AFFAIRS",2015,46,43,3,,,,,,,0.0652173913043478,TRUE
"CULTURAL AFFAIRS",2016,47,44,3,,,,,,,0.0638297872340425,TRUE
"CULTURAL AFFAIRS",2017,51,48,3,,,,,,,0.0588235294117647,TRUE
"CULTURAL AFFAIRS",2018,50,48,2,,,,,,,0.04,TRUE
"CULTURAL AFFAIRS",2019,52,49,3,,,,,,,0.0576923076923077,TRUE
"CULTURAL AFFAIRS",2020,51,48,3,,,,,,,0.0588235294117647,TRUE
"CULTURAL AFFAIRS",2021,51,49,2,,,,,,,0.0392156862745098,TRUE
"CULTURAL AFFAIRS",2022,44,41,3,,,,,,,0.0681818181818182,TRUE
"CULTURAL AFFAIRS",2023,52,49,3,,,,,,,0.0576923076923077,TRUE
"CULTURAL AFFAIRS",2024,50,47,3,,,,,,,0.06,TRUE
"CULTURAL AFFAIRS",2025,50,47,3,,,,,,,0.06,TRUE
"CUNY CENTRAL OFFICE",2016,12,11,1,,,,,,,0.0833333333333333,TRUE
"CUNY CENTRAL OFFICE",2017,19,17,2,,,,,,,0.105263157894737,TRUE
"CUNY CENTRAL OFFICE",2018,28,25,3,,,,,,,0.107142857142857,TRUE
"CUNY CENTRAL OFFICE",2019,84,75,9,,,,,,,0.107142857142857,TRUE
"CUNY CENTRAL OFFICE",2020,93,81,12,,,,,,,0.129032258064516,TRUE
"CUNY CENTRAL OFFICE",2021,94,79,15,,,,,,,0.159574468085106,TRUE
"CUNY CENTRAL OFFICE",2022,80,67,13,,,,,,,0.1625,TRUE
"CUNY CENTRAL OFFICE",2023,85,73,12,,,,,,,0.141176470588235,TRUE
"CUNY CENTRAL OFFICE",2024,80,70,10,,,,,,,0.125,TRUE
"CUNY CENTRAL OFFICE",2025,76,69,7,,,,,,,0.0921052631578947,TRUE
"DEPARTMENT FOR THE AGING",2014,275,249,26,,,,,,,0.0945454545454545,TRUE
"DEPARTMENT FOR THE AGING",2015,270,248,22,,,,,,,0.0814814814814815,TRUE
"DEPARTMENT FOR THE AGING",2016,272,250,22,,,,,,,0.0808823529411765,TRUE
"DEPARTMENT FOR THE AGING",2017,293,264,29,,,,,,,0.0989761092150171,TRUE
"DEPARTMENT FOR THE AGING",2018,295,265,30,75394.7773584906,78189.4,67841,68000,-0.0370665282055462,-2794.62264150937,0.101694915254237,FALSE
"DEPARTMENT FOR THE AGING",2019,299,265,34,78380.1660377358,80436.2647058823,70124,71960.5,-0.0262323846973818,-2056.09866814654,0.11371237458194,FALSE
"DEPARTMENT FOR THE AGING",2020,314,276,38,80480.2101449275,84857.1315789474,71860,74920,-0.0543850646778633,-4376.92143401991,0.121019108280255,FALSE
"DEPARTMENT FOR THE AGING",2021,302,264,38,81884.9507575758,83809.1842105263,74975,73849.5,-0.0234992319730074,-1924.23345295056,0.125827814569536,FALSE
"DEPARTMENT FOR THE AGING",2022,276,239,37,83610.2674476987,85715.7351351351,76493,75792,-0.0251819274319801,-2105.46768743639,0.134057971014493,FALSE
"DEPARTMENT FOR THE AGING",2023,286,250,36,88302.076,92013.4444444444,80904,79055.5,-0.0420303645459529,-3711.36844444444,0.125874125874126,FALSE
"DEPARTMENT FOR THE AGING",2024,304,261,43,96200.3344827586,100847.790697674,86278,92700,-0.048310187692214,-4647.45621491583,0.141447368421053,FALSE
"DEPARTMENT FOR THE AGING",2025,305,265,40,99898.2879245283,105731.6,89016,96487.5,-0.0583925129916009,-5833.31207547171,0.131147540983607,FALSE
"DEPARTMENT OF BUILDINGS",2014,1025,902,123,68280.1841796009,68872.9264227642,63312.8,68983,-0.00868102876823253,-592.742243163331,0.12,FALSE
"DEPARTMENT OF BUILDINGS",2015,1082,952,130,71786.9168172269,73232.8915384615,67416,73575,-0.0201425940177396,-1445.97472123464,0.120147874306839,FALSE
"DEPARTMENT OF BUILDINGS",2016,1284,1110,174,73400.8894144144,74275.5983908046,65793.5,66379,-0.0119168716260598,-874.70897639019,0.135514018691589,FALSE
"DEPARTMENT OF BUILDINGS",2017,1488,1272,216,73611.5716666667,73644.1209259259,66744,66950,-0.000442175849832775,-32.5492592592345,0.145161290322581,FALSE
"DEPARTMENT OF BUILDINGS",2018,1531,1307,224,73508.2913542463,74907.6880357143,65000,66950,-0.0190372630853855,-1399.39668146796,0.146309601567603,FALSE
"DEPARTMENT OF BUILDINGS",2019,1596,1371,225,76076.917432531,78410.8938666667,67792,69826,-0.0306791667289302,-2333.97643413568,0.140977443609023,FALSE
"DEPARTMENT OF BUILDINGS",2020,1670,1428,242,76949.9599439773,78589.7401652892,69826,69982,-0.0213096955801631,-1639.7802213119,0.144910179640719,FALSE
"DEPARTMENT OF BUILDINGS",2021,1626,1390,236,77207.8020143884,78064.1149152542,69826,69826,-0.0110910151373847,-856.312900865785,0.145141451414514,FALSE
"DEPARTMENT OF BUILDINGS",2022,1516,1294,222,78036.9735703246,78433.6711711712,70161,70161,-0.00508345701655266,-396.697600846601,0.146437994722955,FALSE
"DEPARTMENT OF BUILDINGS",2023,1536,1309,227,81649.3420932009,82897.9515418502,74061,74972,-0.0152923393702797,-1248.60944864929,0.147786458333333,FALSE
"DEPARTMENT OF BUILDINGS",2024,1516,1297,219,89505.3813415575,91443.2876712329,78804,79083,-0.0216512828684587,-1937.90632967533,0.144459102902375,FALSE
"DEPARTMENT OF BUILDINGS",2025,1551,1328,223,91528.9476204819,94224.1210762332,80997.5,83579,-0.0294461318065909,-2695.17345575127,0.143778207607995,FALSE
"DEPARTMENT OF BUSINESS SERV.",2014,212,194,18,,,,,,,0.0849056603773585,TRUE
"DEPARTMENT OF BUSINESS SERV.",2015,211,192,19,,,,,,,0.0900473933649289,TRUE
"DEPARTMENT OF BUSINESS SERV.",2016,236,214,22,,,,,,,0.0932203389830508,TRUE
"DEPARTMENT OF BUSINESS SERV.",2017,263,239,24,,,,,,,0.091254752851711,TRUE
"DEPARTMENT OF BUSINESS SERV.",2018,254,232,22,,,,,,,0.0866141732283465,TRUE
"DEPARTMENT OF BUSINESS SERV.",2019,282,255,27,,,,,,,0.0957446808510638,TRUE
"DEPARTMENT OF BUSINESS SERV.",2020,289,260,29,,,,,,,0.100346020761246,TRUE
"DEPARTMENT OF BUSINESS SERV.",2021,265,239,26,,,,,,,0.0981132075471698,TRUE
"DEPARTMENT OF BUSINESS SERV.",2022,244,219,25,,,,,,,0.102459016393443,TRUE
"DEPARTMENT OF BUSINESS SERV.",2023,244,216,28,,,,,,,0.114754098360656,TRUE
"DEPARTMENT OF BUSINESS SERV.",2024,299,259,40,98420.9073359074,100160.725,90076,82400,-0.0176773178706297,-1739.81766409262,0.133779264214047,FALSE
"DEPARTMENT OF BUSINESS SERV.",2025,289,253,36,101449.213438735,104247.722222222,90860,86880.5,-0.0275853177035921,-2798.50878348704,0.124567474048443,FALSE
"DEPARTMENT OF CITY PLANNING",2014,230,208,22,,,,,,,0.0956521739130435,TRUE
"DEPARTMENT OF CITY PLANNING",2015,247,226,21,,,,,,,0.0850202429149798,TRUE
"DEPARTMENT OF CITY PLANNING",2016,260,236,24,,,,,,,0.0923076923076923,TRUE
"DEPARTMENT OF CITY PLANNING",2017,288,260,28,,,,,,,0.0972222222222222,TRUE
"DEPARTMENT OF CITY PLANNING",2018,295,265,30,81436.3207547169,81375.8,75000,75560,0.000743166613570532,60.5207547169266,0.101694915254237,FALSE
"DEPARTMENT OF CITY PLANNING",2019,303,269,34,86159.3940520447,77320.1176470588,79034,72402.5,0.102592137540411,8839.27640498584,0.112211221122112,FALSE
"DEPARTMENT OF CITY PLANNING",2020,300,265,35,87645.5962264151,79045.4285714286,79913,75000,0.0981243556466849,8600.16765498649,0.116666666666667,FALSE
"DEPARTMENT OF CITY PLANNING",2021,275,245,30,88897.9673469388,80128.8,80568,75138.5,0.0986430579758439,8769.16734693876,0.109090909090909,FALSE
"DEPARTMENT OF CITY PLANNING",2022,261,235,26,,,,,,,0.0996168582375479,TRUE
"DEPARTMENT OF CITY PLANNING",2023,288,260,28,,,,,,,0.0972222222222222,TRUE
"DEPARTMENT OF CITY PLANNING",2024,292,263,29,,,,,,,0.0993150684931507,TRUE
"DEPARTMENT OF CITY PLANNING",2025,305,272,33,104963.297794118,101887.242424242,96663.5,93958,0.02930600919103,3076.05536987523,0.108196721311475,FALSE
"DEPARTMENT OF CORRECTION",2014,9777,8937,840,68809.25030771,64600.486904762,76488,76488,0.0611656628160703,4208.76340294797,0.0859159251304081,FALSE
"DEPARTMENT OF CORRECTION",2015,9616,8759,857,69103.6559881265,65401.6382730455,76488,76488,0.0535719516159473,3702.01771508098,0.0891222961730449,FALSE
"DEPARTMENT OF CORRECTION",2016,10155,9193,962,70307.3661481562,65400.867983368,80788,61004,0.0697864026715058,4906.49816478822,0.0947316592811423,FALSE
"DEPARTMENT OF CORRECTION",2017,12031,10749,1282,67526.2237417434,63011.6536661467,81637,55910,0.0668565458785741,4514.57007559673,0.106558058349264,FALSE
"DEPARTMENT OF CORRECTION",2018,11893,10583,1310,69597.951526033,65467.8916030534,81475,57587,0.059341687972451,4130.05992297962,0.110148827041117,FALSE
"DEPARTMENT OF CORRECTION",2019,11424,10089,1335,71397.3458221817,67176.0898876404,85292,57587,0.059123429392663,4221.2559345413,0.116859243697479,FALSE
"DEPARTMENT OF CORRECTION",2020,10404,9175,1229,74237.5195640328,70900.8812042313,85292,62247,0.0449454450983318,3336.63835980157,0.118127643214148,FALSE
"DEPARTMENT OF CORRECTION",2021,9372,8272,1100,82561.4880319151,80085.6554545454,92073,92073,0.0299877416988001,2475.83257736964,0.117370892018779,FALSE
"DEPARTMENT OF CORRECTION",2022,7914,6949,965,87822.6956396604,86151.8497409326,92073,92073,0.0190252176451439,1670.84589872777,0.121935809957038,FALSE
"DEPARTMENT OF CORRECTION",2023,7297,6372,925,89630.514438167,88127.8789189189,92073,92073,0.0167647762446424,1502.63551924806,0.126764423735782,FALSE
"DEPARTMENT OF CORRECTION",2024,6892,6009,883,98578.4153769345,96470.7429218573,101590,101590,0.0213806688514726,2107.67245507715,0.12811955890888,FALSE
"DEPARTMENT OF CORRECTION",2025,6797,5903,894,100231.899606979,97887.6283892618,105146,105146,0.0233884743969688,2344.27121771738,0.131528615565691,FALSE
"DEPARTMENT OF EDUCATION ADMIN",2014,9802,8877,925,59647.8492734032,57090.0810810811,56758,55519,0.0428811469898644,2557.76819232208,0.0943684962252602,FALSE
"DEPARTMENT OF EDUCATION ADMIN",2015,10104,9142,962,62581.65237366,60211.1975051975,60677,59589,0.0378777929082009,2370.45486846251,0.0952098178939034,FALSE
"DEPARTMENT OF EDUCATION ADMIN",2016,10710,9648,1062,64677.2549751245,61914.8060263653,62835,61669,0.0427112893059792,2762.44894875912,0.0991596638655462,FALSE
"DEPARTMENT OF EDUCATION ADMIN",2017,11040,9902,1138,67409.6941022016,64832.3787346221,66484,64843.5,0.0382336012928924,2577.31536757942,0.103079710144928,FALSE
"DEPARTMENT OF EDUCATION ADMIN",2018,11321,10152,1169,69171.5948581562,66985.6877673225,68706,66724,0.0316012243944378,2185.90709083373,0.10325942937903,FALSE
"DEPARTMENT OF EDUCATION ADMIN",2019,11689,10424,1265,71811.650613967,69822.2252964428,71374.5,69066,0.0277033782194837,1989.42531752415,0.108221404739499,FALSE
"DEPARTMENT OF EDUCATION ADMIN",2020,12133,10824,1309,73807.4729305259,72050.6860198628,73185,71256,0.0238022904850937,1756.78691066307,0.107887579329102,FALSE
"DEPARTMENT OF EDUCATION ADMIN",2021,11732,10454,1278,75072.1626678786,73434.838028169,75090,73220,0.021810010282415,1637.32463970956,0.108932833276509,FALSE
"DEPARTMENT OF EDUCATION ADMIN",2022,11388,10123,1265,75386.473871382,74426.3177865613,75381,73394,0.0127364503937261,960.156084820788,0.111081840533895,FALSE
"DEPARTMENT OF EDUCATION ADMIN",2023,11474,10161,1313,78038.459206771,77042.5925361767,75381,74160,0.0127612292799835,995.866670594245,0.114432630294579,FALSE
"DEPARTMENT OF EDUCATION ADMIN",2024,11685,10323,1362,83129.5950789509,81612.9897209987,79971,78493,0.018243867981215,1516.60535795224,0.116559691912709,FALSE
"DEPARTMENT OF EDUCATION ADMIN",2025,12178,10748,1430,85775.3329921844,84642.3790209791,82521,80848,0.0132083890750801,1132.95397120532,0.117424864509772,FALSE
"DEPARTMENT OF FINANCE",2014,1766,1602,164,66599.2353308364,66983.9085365854,60008,61122,-0.00577594027676221,-384.673205748943,0.0928652321630804,FALSE
"DEPARTMENT OF FINANCE",2015,1827,1653,174,69080.8711433757,69657.1724137931,65000,67186,-0.00834241463488957,-576.301270417418,0.0952380952380952,FALSE
"DEPARTMENT OF FINANCE",2016,1834,1659,175,71389.933694997,68703,67540,66625,0.0376374308803328,2686.93369499699,0.0954198473282443,FALSE
"DEPARTMENT OF FINANCE",2017,1901,1699,202,73507.4226015303,71103.0297029703,68599,62845,0.0327095252896263,2404.39289856001,0.106259863229879,FALSE
"DEPARTMENT OF FINANCE",2018,1857,1650,207,74977.3212121212,71504.9565217391,70154,63871,0.0463121999325406,3472.36469038208,0.111470113085622,FALSE
"DEPARTMENT OF FINANCE",2019,1921,1705,216,76245.1577712609,71726.3657407407,70831,63527.5,0.0592666100065885,4518.79203052013,0.112441436751692,FALSE
"DEPARTMENT OF FINANCE",2020,1969,1726,243,78610.8111239862,74523.4115226337,71310,64415,0.0519953876942683,4087.39960135256,0.123412899949213,FALSE
"DEPARTMENT OF FINANCE",2021,1878,1644,234,79681.0821167883,75551.782051282,73903.5,64415,0.0518228412040638,4129.30006550629,0.124600638977636,FALSE
"DEPARTMENT OF FINANCE",2022,1641,1443,198,82394.9501039501,78326.5555555556,76198,70457,0.0493767463086248,4068.39454839454,0.120658135283364,FALSE
"DEPARTMENT OF FINANCE",2023,1612,1399,213,87745.6325947105,86903.9295774648,83313,80517,0.00959253460663375,841.703017245731,0.132133995037221,FALSE
"DEPARTMENT OF FINANCE",2024,1630,1388,242,92932.2074927954,89688.0495867768,86130,79300,0.0349088652205973,3244.15790601858,0.148466257668712,FALSE
"DEPARTMENT OF FINANCE",2025,1690,1430,260,94324.5279720279,90664.8307692308,88549,81877,0.0387989983250428,3659.69720279716,0.153846153846154,FALSE
"DEPARTMENT OF INVESTIGATION",2014,203,194,9,,,,,,,0.0443349753694581,TRUE
"DEPARTMENT OF INVESTIGATION",2015,250,237,13,,,,,,,0.052,TRUE
"DEPARTMENT OF INVESTIGATION",2016,309,288,21,,,,,,,0.0679611650485437,TRUE
"DEPARTMENT OF INVESTIGATION",2017,345,323,22,,,,,,,0.063768115942029,TRUE
"DEPARTMENT OF INVESTIGATION",2018,362,339,23,,,,,,,0.06353591160221,TRUE
"DEPARTMENT OF INVESTIGATION",2019,353,331,22,,,,,,,0.0623229461756374,TRUE
"DEPARTMENT OF INVESTIGATION",2020,358,334,24,,,,,,,0.0670391061452514,TRUE
"DEPARTMENT OF INVESTIGATION",2021,326,304,22,,,,,,,0.0674846625766871,TRUE
"DEPARTMENT OF INVESTIGATION",2022,281,259,22,,,,,,,0.0782918149466192,TRUE
"DEPARTMENT OF INVESTIGATION",2023,269,243,26,,,,,,,0.0966542750929368,TRUE
"DEPARTMENT OF INVESTIGATION",2024,266,242,24,,,,,,,0.0902255639097744,TRUE
"DEPARTMENT OF INVESTIGATION",2025,253,230,23,,,,,,,0.0909090909090909,TRUE
"DEPARTMENT OF PROBATION",2014,949,862,87,56987.5788863109,54627.5402298851,56646,56222,0.0414132114848057,2360.03865642584,0.0916754478398314,FALSE
"DEPARTMENT OF PROBATION",2015,932,848,84,60488.2181603774,58697.2142857143,61070,60392,0.0296091359463499,1791.00387466308,0.0901287553648069,FALSE
"DEPARTMENT OF PROBATION",2016,911,826,85,62315.0774818402,60813.2117647059,62963,62034,0.0241011610323678,1501.86571713431,0.0933040614709111,FALSE
"DEPARTMENT OF PROBATION",2017,956,861,95,61822.6864111498,59342.9368421053,61982,61210,0.0401106731686337,2479.74956904456,0.0993723849372385,FALSE
"DEPARTMENT OF PROBATION",2018,1021,908,113,60708.0165198238,57438.0973451328,61210,54210,0.0538630540436666,3269.91917469107,0.110675808031342,FALSE
"DEPARTMENT OF PROBATION",2019,1136,997,139,63047.4714142426,58742.2158273381,58566,53433,0.0682859358247306,4305.25558690451,0.122359154929577,FALSE
"DEPARTMENT OF PROBATION",2020,1102,968,134,63485.5805785123,60147.0895522388,58343,53948,0.052586603065633,3338.49102627348,0.121597096188748,FALSE
"DEPARTMENT OF PROBATION",2021,1041,914,127,64665.8840262582,61433.7559055118,58528,54463,0.0499819676080504,3232.12812074638,0.121998078770413,FALSE
"DEPARTMENT OF PROBATION",2022,937,816,121,64700.0833333333,60527.3801652893,58343,54446,0.0644930107206571,4172.70316804408,0.129135538954109,FALSE
"DEPARTMENT OF PROBATION",2023,980,854,126,64212.6721311475,59340.8412698413,57069.5,54188.5,0.0758702402441075,4871.83086130627,0.128571428571429,FALSE
